phi,x_h2,T_ad,CO2,H2O,CO,NO,NO2,OH,H2,O2
0.5,0.0,1480.1843573182714,0.049898973264035085,0.09977137187829309,5.730982382753066e-07,0.0007482290577677836,2.9411250463998488e-06,5.4408986530066e-05,4.576811711568844e-07,0.09940836832265476
0.525,0.0,1527.8644168625283,0.052262445201984344,0.1044848892521681,1.256207342036928e-06,0.0009167353361618389,3.0341951320443348e-06,8.299680016711734e-05,9.291878251107394e-07,0.09409032727254792
0.55,0.0,1574.7109104309861,0.05461327993310043,0.10916862683961182,2.6044389929715104e-06,0.0011017761410727633,3.100696617444888e-06,0.00012243751591421075,1.796308805433317e-06,0.08878730387199438
0.575,0.0,1620.7360012491795,0.05695095149836943,0.11382103088951794,5.139736082129528e-06,0.0013011812971094657,3.139812171465376e-06,0.0001752720265725797,3.3250833041808095e-06,0.0834997825624852
0.6,0.0,1665.9477483103967,0.05927458035623551,0.1184402716486746,9.707609728776737e-06,0.0015121546232029154,3.151002568255677e-06,0.00024417879499482025,5.921715790376947e-06,0.07822872792048315
0.625,0.0,1710.3492229346068,0.061582770639610096,0.12302422155974103,1.7631273676822535e-05,0.0017312823450865952,3.133982501112056e-06,0.0003318616205772219,1.0188862979191906e-05,0.07297571805607844
0.65,0.0,1753.9373022888408,0.06387338987618141,0.12757042418950096,3.0920511023210505e-05,0.0019545382448344574,3.088705419505686e-06,0.00044090661047073014,1.6999002894234688e-05,0.06774312936815437
0.675,0.0,1796.7010510283321,0.06614327557730852,0.13207604875826517,5.254993204790848e-05,0.002177283051155512,3.0153589536216087e-06,0.0005736048285431044,2.758939364120974e-05,0.06253438652810843
0.7,0.0,1838.6195726847366,0.06838784904764175,0.13653782371685064,8.682504605003562e-05,0.0023942567179663977,2.9143728923674974e-06,0.0007317355165823678,4.3684779046431596e-05,0.05735429433304878
0.725,0.0,1879.6591689317709,0.07060061115732952,0.14095194051491386,0.00013985977523084115,0.0025995637072052545,2.7864422127679852e-06,0.0009163028258670661,6.765656796853306e-05,0.05220947186897216
0.75,0.0,1919.7695772417806,0.07277248678126692,0.14531391474687153,0.0002201964807910403,0.0027866533785403267,2.632568331799978e-06,0.001127216794508673,0.00010273132039950486,0.04710891475244311
0.775,0.0,1958.8789469087371,0.07489097252902026,0.14961838481931442,0.0003396107259293427,0.0029483004350626904,2.454122605199459e-06,0.0013629070581750067,0.00015326814884308396,0.042064719012867145
0.8,0.0,1996.8870240525284,0.076939023134775,0.15385881545685406,0.0005141607280218291,0.0030765947275672254,2.252937228495513e-06,0.001619855810572059,0.00022513622185385389,0.03709301229031153
0.825,0.0,2033.6556789285341,0.07889357940592782,0.15802704954676713,0.0007655712773367155,0.0031629569417293262,2.031430319888847e-06,0.0018920354508005033,0.0003262440099212667,0.032215158047105986
