phi,x_h2,T_ad,CO2,H2O,CO,NO,NO2,OH,H2,O2
0.8,0.0,1996.8870240525284,0.076939023134775,0.15385881545685406,0.0005141607280218291,0.0030765947275672254,2.252937228495513e-06,0.001619855810572059,0.00022513622185385389,0.03709301229031153
0.8,0.1,2002.0416795024514,0.07467825133555586,0.15766182524480024,0.0005217737548586812,0.0031127086948423265,2.2565229626129787e-06,0.0016804561555309808,0.00024021374201554108,0.03698696081462939
0.8,0.2,2008.0630385458444,0.07203139328276317,0.16211325649771158,0.0005300044536208398,0.00315507237136853,2.2605600594416676e-06,0.0017532248234641595,0.0002588724583376269,0.03686234591795617
0.8,0.30000000000000004,2015.1897290102565,0.0688904364764785,0.1673942905116206,0.0005387030065509412,0.003205450862026511,2.2651237871630447e-06,0.0018421688758279767,0.0002824922116091199,0.036713801598817035
0.8,0.4,2023.7568644130604,0.06510300799521355,0.173760482104751,0.0005474421117887308,0.003266337750605107,2.2702961383660274e-06,0.0019532384733300994,0.00031323165230270493,0.03653365848425062
0.8,0.5,2034.2503566332164,0.06044705885239864,0.18158423907015694,0.0005551596933671284,0.0033413704631683307,2.276153288657305e-06,0.002095643806678848,0.0003546422392617302,0.036310546857300674
0.8,0.6000000000000001,2047.4026828353826,0.05458605505109773,0.19143011970353305,0.0005592766146057611,0.003436062786522019,2.2827278364970804e-06,0.0022843882467331873,0.00041294434652040254,0.03602682802105865
0.8,0.7000000000000001,2064.3726399214247,0.046984716928520735,0.20419681792205444,0.000553321183561932,0.003559173213172198,2.2898991761345904e-06,0.0025455358578151156,0.000499938981381291,0.03565349788365939
0.8,0.8,2087.1107349267227,0.03673831827336301,0.22140637480864303,0.0005197381371250347,0.0037254446946332373,2.297061895238078e-06,0.002928309716253041,0.000640506175147242,0.035139006434965286
0.8,0.9,2119.1854974841435,0.02219317225892991,0.24585456535797165,0.000404269363439997,0.003961568311267024,2.3020146972936168e-06,0.0035367959263201566,0.0008953614129576694,0.034381044431242666
0.8,1.0,2167.964276892202,0.0,0.2832783446171016,0.0,0.004320449005943682,2.2965021020465357e-06,0.004629950493853671,0.0014487883709110802,0.033138652373792606
1.0,0.0,2225.5245834770044,0.08536421734727112,0.18346659345860125,0.00898793908321123,0.0018882057584030097,3.46282166098078e-07,0.002875407485003443,0.0036045255136127616,0.004622237223341114
1.0,0.1,2230.043977049912,0.08261984985134506,0.1878183746790978,0.008937438344687881,0.0019108529905616047,3.494630027042982e-07,0.0029664061602640976,0.003780768075191272,0.004652474662358596
1.0,0.2,2235.330640664005,0.07942051061404545,0.1928987182157711,0.008867707282479995,0.0019372215413099461,3.530815188656919e-07,0.0030748198282360257,0.0039951484076930005,0.0046863550960577925
1.0,0.30000000000000004,2241.598971166456,0.07564361867571874,0.19890671433062912,0.008769459084546972,0.001968287787643703,3.572210651742944e-07,0.003206115693498628,0.004261273655129577,0.004724360224719155
1.0,0.4,2249.1519064835547,0.07111867978134806,0.20612091159963464,0.00862743307594839,0.0020053889603894636,3.6197801671469947e-07,0.0033682852569195737,0.004599961959881104,0.004766889641799986
1.0,0.5,2258.432227451147,0.06560174721367269,0.2149430439183976,0.008415276256496273,0.00205039497435522,3.674531211410262e-07,0.003573467824442739,0.0050446500940390685,0.004814009886941833
1.0,0.6000000000000001,2270.114526805213,0.058732106451527114,0.2259738190837296,0.008084582914405959,0.00210597345307174,3.737197209537512e-07,0.003840987446632807,0.005652421551697198,0.004864806843525381
1.0,0.7000000000000001,2285.2815778517042,0.04995578227427779,0.24015130873015697,0.007539137168950969,0.002175981725764319,3.807218759065201e-07,0.004203444973311993,0.0065287394743646235,0.0049156634886543165
1.0,0.8,2305.792867599107,0.038385596981312366,0.2590190694340982,0.006566601130416716,0.0022659332180159143,3.879493041846975e-07,0.004720036131026241,0.007890301753481613,0.004955377435561482
1.0,0.9,2335.1460592403328,0.022545365935060208,0.2852777334308578,0.0046250391675767165,0.0023828388999044266,3.9333276718735894e-07,0.005508914427658255,0.010254831419711284,0.004949986120460281
1.0,1.0,2380.806278078447,0.0,0.3239432258781043,0.0,0.0025294829223540477,3.891295286849309e-07,0.006836062049283895,0.01517788762606272,0.00479056237371781
1.2,0.0,2136.521896470919,0.062637250364081,0.18823722351684466,0.0452010880701495,0.00011740828857015135,1.907356195777969e-09,0.0005648612487006029,0.0268378527476447,2.8279488610908415e-05
1.2,0.1,2143.9002723721815,0.06044085400265428,0.1925470140574949,0.044173124262633943,0.00012432329759450584,2.0817680986570617e-09,0.0006017905133220328,0.027665177627801955,3.069625765231097e-05
1.2,0.2,2152.4896216914726,0.057892202058037086,0.19756227858196274,0.042952421578103236,0.0001327648155498475,2.3013363228437654e-09,0.0006472030519941538,0.028651894945015795,3.371981601519108e-05
1.2,0.30000000000000004,2162.6131505908593,0.054900588378716204,0.20347013683438323,0.04147878568450472,0.00014327029989772653,2.584384569890604e-09,0.0007042189679275459,0.02984913600912169,3.758939307112321e-05
1.2,0.4,2174.719523446325,0.05134203141502159,0.2105294837050689,0.0396639432756892,0.00015664831352069534,2.959781342567047e-09,0.0007776134415409572,0.031332492085344894,4.2677998427326985e-05
1.2,0.5,2189.449719738059,0.047043104760061294,0.21910844163174317,0.03737301792712907,0.00017416394418648528,3.475119946508712e-09,0.0008750192811036539,0.033218517379928085,4.959314897470387e-05
1.2,0.6000000000000001,2207.7512032353766,0.041755025453037116,0.22974737414722776,0.0343892251178257,0.00019789075554811,4.2132055126524384e-09,0.0010092942522834409,0.035696462843679916,5.937662957047394e-05
1.2,0.7000000000000001,2231.0829486699854,0.03511147395673898,0.24326958867494605,0.03034123507339828,0.00023142178283114655,5.327690759686859e-09,0.0012035380611964538,0.03909415207914856,7.392791196701193e-05
1.2,0.8,2261.80616389891,0.026560467512200887,0.2609854145629276,0.024538889472215768,0.00028141493073323453,7.126658589826821e-09,0.0015027302348164188,0.04402822199152194,9.69737596369398e-05
1.2,0.9,2303.9820574451455,0.015263349144622726,0.2850888319441194,0.015555277572972691,0.0003612561230068295,1.0288364465663608e-08,0.0020039595484379284,0.05178883807256511,0.00013649841528630898
1.2,1.0,2365.124160218303,0.0,0.31947859784418475,0.0,0.0005007062213747029,1.6486211893782483e-08,0.0029472628856677856,0.06547177675797387,0.00021155171384499313
