x_h2,phi,Su
0.0,0.7,0.19645618410425578
0.0,0.85,0.3134493974533314
0.0,1.0,0.3851074909888873
0.0,1.15,0.3711353284685137
0.0,1.3,0.23896563347147173
0.25,0.7,0.2341199298486663
0.25,0.85,0.37283184860259383
0.25,1.0,0.4607287894627319
0.25,1.15,0.4572353958667213
0.25,1.3,0.32418709424763315
0.5,0.7,0.30583315767747654
0.5,0.85,0.4833340186507449
0.5,1.0,0.6067190826290114
0.5,1.15,0.6311222092611175
0.5,1.3,0.5063968876966691
0.75,0.7,0.476501556608724
0.75,0.85,0.7532304647551911
0.75,1.0,0.9785680239946872
0.75,1.15,1.087654509373415
0.75,1.3,1.0222458992286378
1.0,0.7,1.2203993264030202
1.0,0.85,1.8517169692181945
1.0,1.0,2.340187644706071
1.0,1.15,2.6998343853111866
1.0,1.3,2.942105075036741
