x_h2,T0,tau
0.0,900.0,0.5943878330056782
0.0,950.0,0.20487070648274025
0.0,1000.0,0.08090015987923946
0.0,1050.0,0.035596404032628745
0.0,1100.0,0.01698065881154751
0.0,1150.0,0.008583929728087138
0.0,1200.0,0.004528044953746791
0.0,1300.0,0.0013874574032208692
0.0,1400.0,0.0004720840223416052
0.25,900.0,0.16574620540729357
0.25,950.0,0.04325984535762545
0.25,1000.0,0.012849795996240749
0.25,1050.0,0.0043390778430471835
0.25,1100.0,0.0017371827061655346
0.25,1150.0,0.0008500125128851143
0.25,1200.0,0.0004905941100777833
0.25,1300.0,0.00021146988408493557
0.25,1400.0,0.00010273133266568789
0.5,900.0,0.15860586625250525
0.5,950.0,0.04046701665362406
0.5,1000.0,0.011491128279803713
0.5,1050.0,0.003517614319442515
0.5,1100.0,0.0011536833700099163
0.5,1150.0,0.0004292622726978071
0.5,1200.0,0.0001954399673655734
0.5,1300.0,6.852639875811587e-05
0.5,1400.0,3.332187674560147e-05
0.75,900.0,0.1372907515129492
0.75,950.0,0.035548249040950344
0.75,1000.0,0.010201473169252939
0.75,1050.0,0.003121857454516629
0.75,1100.0,0.000980713379999912
0.75,1150.0,0.0003076542412359039
0.75,1200.0,0.00010361086071029806
0.75,1300.0,2.425870937429734e-05
0.75,1400.0,1.0660619841314383e-05
1.0,900.0,0.10179399124512716
1.0,950.0,0.027244539760184885
1.0,1000.0,0.008106241196341856
1.0,1050.0,0.0025761780863904475
1.0,1100.0,0.0008342192330525392
1.0,1150.0,0.00025446964750995386
1.0,1200.0,6.066772621767134e-05
1.0,1300.0,4.963297378871753e-06
1.0,1400.0,2.283977479319401e-06
